0,1,2,3,4,5,6,7,8,9,10,11,12
KP Pietersen (ENG),130,197,153,12,2,84.96,2,,v Pakistan,Dubai (DSC),21-Feb-12,
J Charles (WI),130,152,111,12,4,117.11,1,,v Zimbabwe,St George's,22-Feb-13,
DA Warner (AUS),130,156,119,11,2,109.24,1,,v Pakistan,Sydney,22-Jan-17,
Haris Sohail (PAK),130,-,129,11,3,100.77,2,,v Australia,Dubai (DSC),31-Mar-19,
PR Stirling (IRE),130,-,141,8,4,92.19,1,,v Bangladesh,Dublin,15-May-19,
Salman Butt (PAK),129*,200,136,12,3,94.85,1,,v India,Dhaka,14-Jun-08,
V Kohli (INDIA),129*,123,96,19,2,134.37,2,,v South Africa,Centurion,16-Feb-18,
SC Williams (ZIM),129*,-,143,10,1,90.2,1,,v Bangladesh,Chattogram,26-Oct-18,
RT Ponting (AUS),129,155,126,15,1,102.38,1,,v South Africa,Bloemfontein,30-Mar-02,
Mohammad Yousuf (PAK),129,178,131,8,3,98.47,1,,v Sri Lanka,Sharjah,17-Apr-02,
